id,keyword,location,text,predicted_label,predicted_severity,disaster_label
537,army,"Logansport, Indiana",Check out more data on Upper Wabash reservoirs here on @LouisvilleUSACE site: http://t.co/hqqLQUqZmD,1,Mild,0
547,arson,Unknown,Cheesehead Report - Arson charges filed in Jackson County house fire http://t.co/I3Y1ZWjBzO,1,Severe,2
548,arson,"Los Angeles, CA",Arson suspect linked to 30 fires caught in Northern California http://t.co/z8tlcAdKOw,1,Moderate,1
549,arson,Unknown,Israeli police unable to solve the case of Duma arson attack http://t.co/WtZgXzaf7Z,1,Severe,2
553,arson,"Las Vegas, NV","SHOCK REPORT: Muslims Setting Wildfires Across American West...Arson Jihad!

http://t.co/92F4nKxjIu",1,Severe,2
555,arson,ITUNES RADIO [Hiphop/Rap],#BreakingNews Mourning notices for stabbing arson victims stir Û÷politics of griefÛª in Israel: Posters f... http://t.co/KTKDrGVHgX #rome,1,Severe,2
557,arson,"Paterson, New Jersey ",Mourning notices for stabbing arson victims stir Û÷politics of griefÛª in Israel: Posters for Shira Banki and A... http://t.co/WbCtkGGTY9,1,Severe,2
566,arson,"Saginaw, Mich.",RT Saginaw - Police sketches of 2 'persons of interest' in Saginaw arson http://t.co/a2tZJ07nId http://t.co/LvtP5MHjaG,1,Moderate,1
572,arson,USA,Fire That Destroyed Charlton Winery Ruled To Be Arson http://t.co/4a9l0jrMYB,1,Severe,2
573,arson,Unknown,WEHTWTVWlocal: Trial date set for man charged with arson burglary. https://t.co/eUk7lKS11r,1,Moderate,1
582,arson,"Lawrence, KS",Man charged in connection to Shawnee arson and burglary: OLATHE Kan. ÛÓ A man was in court Wednesday accused ofÛ_ http://t.co/zcXmQoKtZ1,1,Severe,2
586,arson,Unknown,960KZIM: Steele police arrest 2 in possible arson investigation https://t.co/w6ZbWryqjC,1,Severe,2
590,arson,Unknown,Arson suspect linked to 30 fires caught in Northern California http://t.co/HkFPyNb4PS,1,Moderate,1
595,arson,Unknown,Mourning notices for stabbing arson victims stir Û÷politics of griefÛª in Israel: Posters for Shira Banki and A... http://t.co/6o92wDfcLu,1,Severe,2
596,arsonist,"3rd terrestrial planet, Sun",Contra Costa Co. authorities arrest suspected serial arsonist: Authorities believe thatÛ_ http://t.co/bzCmzM7bi5 | http://t.co/LBQldyKgdp,1,Severe,2
605,arsonist,USA,Arsonist Sets NYC Vegetarian Restaurant on Fire: Police #NewYork - http://t.co/agn4cL4uSK,1,Moderate,1
610,arsonist,"Nanaimo, BC",Arsonist torches a house himself and his getaway vehicle police say - Surrey Leader http://t.co/q0J5lTVD6k @RichardGEarl,1,Mild,0
618,arsonist,"Dorset, UK",Hotel arsonist who caused å£70000 damage was Û÷crying for helpÛª: An arsonist has been jailed after a court hear... http://t.co/HNGDdBhewa,1,Severe,2
620,arsonist,San Francisco,suspected serial arsonist in east bay under arrest @christinKPIX5 @NightBeatTV 10pm @KBCWtv @VeronicaDLCruz,1,Severe,2
632,arsonist,"San Luis Obispo, California",Suspected serial arsonist arrested in NorCal http://t.co/Dty4t75CGu http://t.co/MjxbygejyL,1,Severe,2
634,arsonist,Unknown,Surveillance Video Captures Man Removing American Flag From Long Beach Home ... - KTLA http://t.co/g0o9wiAgHu,1,Moderate,1
645,arsonist,Fresno,Arson suspect linked to 30 fires caught in Northern California https://t.co/emsXyWp5s5,1,Moderate,1
647,attack,Unknown,Delhi government to provide free treatment to acid attack victims in private hospitals #AAPatWork http://t.co/xjtp8SBpt3,1,Moderate,1
666,attack,Indianapolis,TexasÛªs Gratuitously Cruel Attack On A Dying GayåÊMan http://t.co/retdjqyCuB,1,Severe,2
673,attack,Unknown,Suspect in latest US theatre attack had psychological issues http://t.co/TvsvjuAVif http://t.co/npovfR4rGo,1,Severe,2
696,attacked,"New Delhi,India",Cop injured in gunfight as militants attack Udhampur police post: Suspected militants attacked a police post i... http://t.co/ERW7FdxnCr,1,Severe,2
698,attacked,UK,Newcastle: Schoolgirl attacked in Seaton Delaval park by 'pack of animals' led by a former friend http://t.co/4xbrVNib9T #newcastle,1,Moderate,1
703,attacked,between here and there,Christian Attacked by Muslims at the Temple Mount after Waving Israeli Flag via Pamela Geller - ... http://t.co/ajMtU7EHy2,1,Moderate,1
707,attacked,"Revolutionary Road, USA",Christian Attacked by Muslims at the Temple Mount after Waving Israeli Flag via Pamela Geller - ... http://t.co/OGoyzOlJk5,1,Moderate,1
708,attacked,Lucknow,Tennessee man killed by police attacked family with hatchet: 911åÊcall http://t.co/pWiw9q30DT,1,Severe,2
711,attacked,1937 Germany ,Christian Attacked by Muslims at the Temple Mount after Waving Israeli Flag via Pamela Geller - ... http://t.co/RICbduIACc,1,Moderate,1
715,attacked,"Toronto, Ontario",Christian Attacked by Muslims at the Temple Mount after Waving Israeli Flag via Pamela Geller - ... http://t.co/zb8vVBiSY4,1,Moderate,1
733,attacked,Melbourne,Christian Attacked by Muslims at the Temple Mount after Waving Israeli Flag via Pamela Geller - ... http://t.co/PuVOZi3Pa3,1,Moderate,1
741,attacked,"Helsinki, Finland",@LogitechG BUT THEN THE FIRE NATION ATTACKED....,1,Moderate,1
742,attacked,Unknown,Christian Attacked by Muslims at the Temple Mount after Waving Israeli Flag via Pamela Geller - ... http://t.co/7kxGS7VDFy,1,Moderate,1
743,attacked,"Nashville, TN",Metro Nashville Police - simply the best.   Thank you for protecting us.    911 call: http://t.co/ZWIG51QECF via @AOL,1,Mild,0
811,battle,Unknown,#environment Lone Pine trees growing across the country in remembrance of battle at Gallipoli 100 years ago: T... http://t.co/GJCAAnfCYk,1,Moderate,1
830,bioterror,Unknown,FedEx no longer to transport bioterror germs in wake of anthrax lab mishaps #breakingnews,1,Moderate,1
831,bioterror,Unknown,FedEx no longer to transport bioterror germs in wake of anthrax lab mishaps http://t.co/kA0syAhqVW via @usatoday,1,Moderate,1
839,bioterror,South of Boston,FedEx no longer to transport bioterror germs in wake of anthrax lab mishaps http://t.co/1CsEBhPLfh via @usatoday,1,Moderate,1
847,bioterror,East Texas,"FedEx no longer to transport bioterror germs in wake of anthrax lab mishaps

http://t.co/SjNKpJ8lEe

#watchcbs19 http://t.co/JiRXfok46c",1,Moderate,1
854,bioterror,Unknown,#FedEx no longer to transport #bioterror germs in wake of #anthrax lab mishaps http://t.co/Ziw1RWPJkK,1,Moderate,1
861,bioterror,"Phoenix, AZ",FedEx no longer to transport bioterror germs in wake of anthrax lab mishaps http://t.co/L04Q4DKvue http://t.co/z5voujEus4,1,Moderate,1
869,bioterror,Unknown,FedEx no longer to transport bioterror germs in wake of anthrax lab mishaps http://t.co/RghHkWtKLR #newsdict #news  #FedEx,1,Moderate,1
879,bioterrorism,USA,Bioterrorism and Ebola. http://t.co/ORIOVftLK4 RT #STOPIslam #TCOT #CCOT #MakeDCListen #TeaParty,1,Mild,0
880,bioterrorism,Los Angeles,The largest bioterrorism attack on U.S. soil involved tacos @atlasobscura http://t.co/1n9CRhWmgl,1,Moderate,1
887,bioterrorism,Amsterdam NL or Greenwich USA,Is it time to hedge against catastrophic risks such as climate change asteroid impacts or bioterrorism? https://t.co/HQ6WqsgSJX,1,Moderate,1
897,bioterrorism,Unknown,Bioterrorism : Guidelines for Medical and Public Health Management (2002) http://t.co/zkUXHnoBaG http://t.co/FHgkYxffu5,1,Mild,0
900,bioterrorism,"Denver,CO USA",@bbcworld Bioterrorism drones can reach large populated erea.,1,Mild,0
904,bioterrorism,Unknown,@DebtAssassin They forget there is the threat of bioterrorism.,1,Moderate,1
913,bioterrorism,Alaska,Uganda Seen as a Front Line in the Bioterrorism Fight,1,Mild,0
914,bioterrorism,"Capitol Hill, Washington",Ppl living w/ HIV have been charged with aggravated assault and bioterrorism for things w/ low or no risk of transmission. #HIVIsNotaCrime,1,Severe,2
920,bioterrorism,Unknown,Bioterrorism: Guidelines for Medical and Public Health Management Donald A. Hen http://t.co/tDg0Bsmd6c http://t.co/iirWFZMKHO,1,Mild,0
950,blaze,Vancouver,Port Coquitlam fire crews say an electric towel warmer started the four alarm blaze last week that destroyed several businesses.,1,Severe,2
970,blaze,"Lithgow, NSW, Australia",Lithgow News: Homeless after blaze near Portland http://t.co/Cht5w3znIK,1,Mild,0
1011,blazing,ZIKKO'S HQ,"S3XLEAK!!!
Ph0tos of 19yrs old Ash@wo lady in Festac town from Delta exp0sed on BBM 5 leaked pictures... http://t.co/lUm4l65alz",1,Mild,0
1013,blazing,VISIT MY YOUTUBE CHANNEL.,HAPPENING NOW - FDNY RESCUE 1 BLAZING THRU@AND BLASTING THE AIR HORNÛ_ https://t.co/bX6cwRt8M7,1,Mild,0
1016,blazing,On The Net,Satelite Shot: Series of wildfires in Northern California continue blazing: There are at least five fire compl... http://t.co/BmGuHqY7W4,1,Moderate,1
1027,blazing,Your screen,"S3XLEAK!!!
Ph0tos of 19yrs old Ash@wo lady in Festac town from Delta exp0sed on BBM 5 leaked pictures... http://t.co/2WUpSDttVi",1,Mild,0
1028,blazing,"Sacramento, California",@BlazingRoselia California is hot but not blazing even though there are wildfires going on now. Even the big massive Rocky fire,1,Mild,0
1033,bleeding,??????????? :P,#Nepal: This house near TIA bleeding intÛªl airline companies dry. | http://t.co/lI8wi1kuMY,1,Moderate,1
1171,blight,Metro Detroit,#Detroit has made progress against blight but too many burned out shells of houses remain.,1,Moderate,1
1355,blown up,"Paterson, New Jersey ",Deadly suicide bombing hits mosque in Saudi Arabia: A suicide bomber has blown himself up at a mosque in the s... http://t.co/RkvU3xjAzH,1,Severe,2
1370,blown up,Unknown,@MalikChaimaa I hope Zayn gets blown up in a drone attack whilst visiting family in Pakistan ??,1,Mild,0
1512,body bags,"Alexandria, VA ","Fairfax Co. investigating firefighter Khalil Abdul-Rasheed for Facebook post saying police shld be put in body bags

http://t.co/VpvskCIyro",1,Moderate,1
1529,bomb,"NYC, ??, VAN",One of the top RT-ed tweets in #Japan is a screenshot of a young person claiming to not know the 70th anniversary of the Hiroshima bomb,1,Moderate,1
1536,bomb,Unknown,Hiroshima marks 70 years since bomb: The Japanese city of Hiroshima marks the 70th anniversary of the dropping... http://t.co/INRGS4z0AC,1,Mild,0
1548,bomb,N 51å¡25' 0'' / W 0å¡45' 0'',RIP RT @AJENews: On Aug. 6 1945 at 8:16 AM Tokyo time the worldÛªs 1st atom bomb on Hiroshima http://t.co/6Q5CS9MCdW http://t.co/7OGFoQr0MG,1,Mild,0
1550,bomb,"Tinley Park, IL",@joshrogin @slwsew379 @jimsciutto @NatSecCNN As suspected. Kerry and Barry got taken for a ride. Iran was making a bomb while talks went on.,1,Moderate,1
1552,bomb,Unknown,Why American censors supressed accounts of suffering in Nagasaki http://t.co/kZbeas50KE http://t.co/YQgpaSX3MG,1,Severe,2
1557,bomb,Unknown,What if your hometown were hit by the Hiroshima atomic bomb? http://t.co/XuWN4McgYp #safemode,1,Moderate,1
1563,bomb,"Long Beach, Dublin, Amsterdam",@johncusack text: We Dropped The A-Bomb (1946)https://t.co/boJCX32qcZ Û_,1,Moderate,1
1566,bomb,SHIBUYA TOKYO JAPAN,&lt;Kyodonews&gt; UPDATE1: Hiroshima marks 70th A-bomb anniv. amid fears of eroded pacifism http://t.co/VpGu8z1Lhb #followme #japan,1,Moderate,1
1586,bombed,New York,At this hour 70 yrs ago one of the greatest acts of mass murder in world history occurred when #Hiroshima was bombed. http://t.co/2QJl5MfKzv,1,Severe,2
1589,bombed,Unknown,70 years ago nowish America bombed #Hiroshima. Was it justified? All I can say is #noMOREHiroshimas #VJDay70 #FEPOW http://t.co/SYADSa6QeS,1,Mild,0
1592,bombed,Unknown,#Hiroshima does not look like a bombed city. It looks as if a monster steamroller had passed over it and squashed it out of existence.,1,Moderate,1
1598,bombed,"Jaipur, Rajasthan",6th July 1945 ...Hiroshima was bombed with nuclear weapon _bomb was named little boy&amp;carried in a plane called Enola Gay ...1/2,1,Moderate,1
1616,bombed,Unknown,@davej798 @JohnEJefferson remind me when SomaliaEritrea &amp; Nigeria were bombed by UK 28% of asylum applicants to UK 2014 were from S &amp; E,1,Mild,0
1629,bombing,Unknown,Bombing of Hiroshima 1945. http://t.co/4UHq9jKCvq,1,Moderate,1
1630,bombing,These United States,We dont really talk about the murder of the bombing campaigns in WWII because we won but murder it is. https://t.co/jsGwnY6kdJ,1,Severe,2
1635,bombing,Tokyo JAPAN,#Hiroshima marks 70th anniversary of atomic bombing ( via NHK WORLD News) http://t.co/qGWoyNJLY8,1,Mild,0
1640,bombing,Philippines,Japan to mark 70th anniversary of Hiroshima atomic bombing http://t.co/RUQPVtdBzT,1,Mild,0
1641,bombing,South East Asia,Just Happened in Asia: Japan marks 70th anniversary of Hiroshima atomic bombing http://t.co/E5dEmdScEh,1,Mild,0
1642,bombing,London,What it was like to survive the atomic bombing of Hiroshima http://t.co/0cvXS2E1Er,1,Mild,0
1651,bombing,Unknown,70th Anniversary of Hiroshima bombing https://t.co/juwvomhGPd,1,Mild,0
1655,bombing,Philippines,Japan marks the 70th anniversary of the atomic bombing of Hiroshima. http://t.co/YmKn1IwPvF http://t.co/mMmJ8Bo9y3,1,Mild,0
1656,bombing,Kill Devil Hills,'Japan Marks 70th Anniversary of Hiroshima Atomic Bombing' by THE ASSOCIATED PRESS via NYT http://t.co/kKULqGB9e3,1,Mild,0
1659,bombing,"Derbyshire, England",The 'sanitised narrative' of Hiroshima's atomic bombing. #Hiroshima70 #japan http://t.co/zsyj6sqYCn,1,Mild,0
1664,bombing,Philippines,Japan marks 70th anniversary of Hiroshima atomic bombing: Bells tolled in Hiroshima on Thursday as Japan marke... http://t.co/IqAIRPdIhg,1,Mild,0
1667,bombing,Unknown,Japan marks 70th anniversary of Hiroshima atomic bombing http://t.co/MLZxmGVuIh,1,Mild,0
1668,bombing,Somewhere on the Earth,70 yrs since the atomic bombing of Hiroshima... Terrible mass murder...,1,Severe,2
1674,bridge collapse,"London, United Kingdom",BREAKING NEWS: Australia collapse to a hapless 60 all out at Trent Bridge http://t.co/O2CFWDzZld,1,Moderate,1
1680,bridge collapse,Unknown,New: Two giant cranes holding a bridge collapse into nearby homes http://t.co/ACirPv8Hn4,1,Moderate,1
1681,bridge collapse,Nigeria,@AkinwunmiAmbode Urgentthere is currently a 3 storey building at church B/stop Oworoshoki Third mainland bridge which likely to collapse,1,Moderate,1
1682,bridge collapse,New York City & Mpls/St. Paul,"Throwback Thursday: More Thoughts About Citizen Media During Minneapolis Bridge Collapse Disaster - http://t.co/GudUDAZ4fx 
#TBT",1,Severe,2
1685,bridge collapse,India,Ashes 2015: AustraliaÛªs collapse at Trent Bridge among worst in history: England bundled out Australia for 60 ... http://t.co/l5ULCx4mOm,1,Severe,2
1695,bridge collapse,Unknown,Two giant cranes holding a bridge collapse into nearby homes http://t.co/Mqm46H6G8b,1,Moderate,1
1696,bridge collapse,Minneapolis St. Paul Minnesota,"Throwback Thursday: Minneapolis Bridge Collapse &amp; Citizen Journalism - http://t.co/bXV3vlMBBp 
#TBT http://t.co/iBmqVWrVyz",1,Moderate,1
1704,bridge collapse,Unknown,Australia collapse at Trent Bridge how Twitter . On the first morning of the fourth Ashes Test... http://t.co/WAtjhzULa8,1,Moderate,1
1711,bridge collapse,Unknown,2 Injured 1 missing in bridge collapse in central Mexico http://t.co/scDa8eVwR6,1,Severe,2
1713,bridge collapse,Unknown,Australia's Ashes disaster - how the collapse unfolded at Trent Bridge http://t.co/UqEtEeltVU #telegraph,1,Severe,2
1717,bridge collapse,Unknown,5 injured in bridge collapse at Swiss kosher hotel: The accident occurred on Tuesday at the Metropol Hotel a ... http://t.co/sIGeZlynJ9,1,Severe,2
1729,buildings burning,"Liverpool, England",a very scary thought is if 9/11 had happened today their would be teenagers taking selfies in front of the burning buildings,1,Moderate,1
1732,buildings burning,Unknown,@CTVKathyLe and in other news: don't run into burning buildings,1,Mild,0
1734,buildings burning,Unknown,forestservice : RT dhsscitech: #Firefighters run into burning buildingsÛÓwe work on #tech tÛ_ http://t.co/KybQcSvrZa) http://t.co/Ih49kyMsMp,1,Mild,0
1736,buildings burning,The Triskelion,this is like when folks said ÛÏburning down buildings doesnÛªt workÛÛ_onlyÛ_it did. now cities trying to get information out ASAP to prevent it,1,Severe,2
1743,buildings burning,Unknown,@chistate33 @thehill What hate crimes? It's the looney libs that are always burning down buildings and vandalzing private property,1,Severe,2
1748,buildings burning,Sunshine Coast of BC,Port Coquitlam fire burning several businesses http://t.co/Q5FzYLBvTk,1,Moderate,1
1749,buildings burning,New Jersey,@speechgirlAM On par with caring for the sick helping people move not talking during movies rescuing people from burning buildings...,1,Mild,0
1751,buildings burning,Cin City,@TravDave @Kornbread_ICU especially where it happened. Really nothing to tear up. Burning the buildings saves the city money for real,1,Mild,0
1764,buildings burning,"San Francisco, CA",Two buildings burn in 3-alarm Antioch fire: Two buildings are burning in a 3-alarm fire at the Delta PinesÛ_ http://t.co/GQgF2ygpX2,1,Severe,2
1777,buildings on fire,Wellington,"Jane Kelsey on the FIRE Economy
5th Aug 5:30ÛÒ7:30pm
Old Govt Buildings Wgton
The context &amp; the driver for #TPP and #TRADEinSERVICESAgreement",1,Moderate,1
1778,buildings on fire,"Mighty Tempe, Arizona",'Failure doesnÛªt exist. ItÛªs only a change of direction' - Alejandro Jodorowsky (via buildings-on-fire) http://t.co/ByMVemW4xF,1,Severe,2
1781,buildings on fire,IG: 94fijiwater,I'm security so they want me to help out in case of emergency like the buildings on fire or a shooter's in the building. I'm leaving tho..,1,Mild,0
1782,buildings on fire,?arsehole squad?,@blainescronuts thats what i would do if there were buildings on fire,1,Moderate,1
1783,buildings on fire,Wherever the music takes me ,fucking apartments across the street are on fire right now. 5 fuckin firetrucks wtf. this is the second time those buildings caught on fire,1,Severe,2
1785,buildings on fire,Fallen TX,It's a testimony to the human spirit that more of us don't set fire to our office buildings on Sunday night.,1,Mild,0
1788,buildings on fire,Las Vegas,"There are multiple buildings on fire In Downtown Hinton OK.
The fire is threatening to level the entire block! #8NN https://t.co/pEVtSf7Cyt",1,Severe,2
1793,buildings on fire,"?????????, ?????-?????????","#DNR
Res. buildings shelled &amp; on fire in #Gorlovka tonight.
Civilian casualties Jan-July 2015:ÛÓ
164 killed (incl. 16 children)
501 wounded",1,Severe,2
1794,buildings on fire,"ÌÏT: 41.373061,-71.942237",@gilsimmons lightening struck &amp; 2 units in 1 of our buildings in our development on fire. Groton CT. Check out my FB wall most recent post,1,Moderate,1
1795,buildings on fire,TAIZ - YEMEN,"#Taiz
#Houthi #Saleh indiscriminate shelling from castle sets Tahreer st buildings on fire
#Yemen http://t.co/qsli2ivIoG",1,Moderate,1
1797,buildings on fire,Unknown,Buildings on fire behind Tisa's in Niceville @tristapnwfdn https://t.co/ACl1baBacR,1,Moderate,1
1800,buildings on fire,New Hampshire Û¢ WMUR ,Two buildings involved in fire on 2nd Street in #Manchester. @WMUR9 #wmur http://t.co/bCEUGsoi2r,1,Moderate,1
1801,buildings on fire,Yorkshire and London,"Agricultural Buildings on Fire - Aldwark - NYorks Fire &amp; Rescue Service 

Still grim news but fewer piglets caught up http://t.co/0kjCWG6pN9",1,Moderate,1
1805,buildings on fire,Boston,Multiple firefighters hospitalized after fighting a fire Manchester NH. #7News http://t.co/X1oYU5Y6bI,1,Moderate,1
1806,buildings on fire,"Las Vegas, Nevada","There are multiple buildings on fire In Downtown Hinton OK.
The fire is threatening to level the entire block! #8NN https://t.co/GXDKLhxU22",1,Severe,2
1819,buildings on fire,Sydney Australia,"My Happy Pensioner Stories
Safe Buildings: watching a report on unsafe cladding catching fire in Melbourne same... http://t.co/cnoxJB8XoQ",1,Moderate,1
1820,buildings on fire,"Kalispell, Montana",Multiple houses/buildings on fire in Kalispell http://t.co/1iyThVshgF,1,Moderate,1
1825,burned,"Las Vegas, NV",Family heartbroken.Mobile home at Nellis &amp; Cheyenne burned in fire. Kids were all ready to go back 2 school @News3LV http://t.co/VAf1RAiYQb,1,Moderate,1
1830,burned,"Dallas, Texas",Let me tell you Brandace brought it today at #NTC! Heat and all...we survived! Burned over 500Û_ https://t.co/ILfd6wcGqg,1,Mild,0
1839,burned,Poyth WesssterrrnnOystrayahhh,@IrSolichin @9Tawan99 @178kakapo @POTUS The last 2 of 68 cities where everyone was burned to death. Terrorism on the grandest of scales,1,Severe,2
1871,burning,mumbai,hermancranston: WIRED : All these fires are burning through firefighters' budgets http://t.co/FSGAnfRgjH http://t.co/ju9zzu9TiOÛ_ Û_,1,Mild,0
1874,burning,"Conover, NC",Geoengineering and burning of fossil fuels is making our global weather unstable. With temps up to 165å¡ and biggest flood in past 200 years,1,Mild,0
1930,burning buildings,"San Francisco, CA",Three-alarm fire burning in Antioch apartment complex. @kron4news http://t.co/IH7cTORGRH,1,Severe,2
1944,burning buildings,"Denver, CO",The Rocky Fire burning in CA still threatening more than 7k buildings. Largest in state &amp; one of nearly 2 dozen burning now #9newsmornings,1,Severe,2
1970,burning buildings,San Diegohhjhhhhhghghpjg,What if we used drones to help firefighters lead people out of burning buildings/ help put the fire out?,1,Mild,0
1977,bush fires,Dundee,Soaring temperature's in some southern US states causing bush fires pity @scotgov only allow rain in Scotland. #TweetLikeKez,1,Severe,2
1978,bush fires,Unknown,You know it's hot when there are bush fires right near your villa ????,1,Mild,0
1982,bush fires,Unknown,Bushfire causes first victim in Albania ::  The multiple fires in Albania have caused the first vict http://t.co/yuba6XmBlq #Bush,1,Severe,2
1984,bush fires,"SQU\/D, uk",Drove past the field on fire yesterday. Reminded me of the bush fires we used to get in South Africa. http://t.co/SN3dHuYnFe,1,Moderate,1
1988,bush fires,"Melbourne, Australia",Bush #food fires: http://t.co/Q1Y8lm7us9 http://t.co/TofLxOdyrX,1,Mild,0
1993,bush fires,"Dubai, United Arab Emirates",[WATCH] Mother Nature halts Australia Blue Mountains bushfire http://t.co/xxA4rmFZ01,1,Mild,0
1997,bush fires,$$$,@jiminswang i was about 2 say bush fires in aus but the reason is hot,1,Mild,0
2002,bush fires,London,If you like goats and dislike bush fires then this is probably the video for you http://t.co/93VacQM4b1,1,Mild,0
